Company Name,Top Parent Company,Company Type,Company Category
TIEN HSIA LANGUAGE SCHOOL,TIEN HSIA LANGUAGE SCHOOL,SOLE PROPRIETOR,SME
SEGAR VILLAGE PTE. LTD.,SEGAR VILLAGE PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
GRO ENTERPRISES PTE. LTD.,GRO ENTERPRISES PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
HADA PRIVATE LIMITED,HADA PRIVATE LIMITED,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
MACRO EVENTS PTE LTD,MACRO EVENTS PTE LTD,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
MOMENTUS HOTEL ALEXANDRA,MOMENTUS HOTEL ALEXANDRA,SOLE PROPRIETOR,SME
NGAI HENG PTE. LTD.,NGAI HENG PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
HPH ENGINEERING PTE LTD,HPH ENGINEERING PTE LTD,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
PIAS INTERCOSMEX SINGAPORE PTE. LTD.,PIAS INTERCOSMEX (HONG KONG) CO LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME
RIVERVIEW TANDOOR PTE. LTD.,RIVERVIEW TANDOOR PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
WHITE SPACE DIGITAL PTE. LTD.,WHITE SPACE DIGITAL PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
ABSPRUNG ENGINEERING SYSTEMS PTE. LTD.,ABSPRUNG ENGINEERING SYSTEMS PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME
MANTEC ENGINEERING PTE LTD,MANTEC ENGINEERING PTE LTD,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
SAPPHIRE WINDOWS PTE. LTD.,SAPPHIRE WINDOWS PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
T1 GLASS SYSTEMS PTE. LTD.,T1 GLASS SYSTEMS PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
POSITIVE ENGINEERING PTE LTD,POSITIVE ENGINEERING PTE LTD,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
RED VELVET BALLROOM PTE. LTD.,RIVERVIEW TANDOOR PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
RASA FOODS PTE. LTD.,RIVERVIEW TANDOOR PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
THE MANAGEMENT CORPORATION - STRATA TITLE PLAN NO. 4405,THE MANAGEMENT CORPORATION - STRATA TITLE PLAN NO. 4405,,SME
HOUSE OF SEAFOOD (S) PTE. LTD.,HOUSE OF SEAFOOD (S) PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
HOUSE OF SEAFOOD (CLARKE QUAY) PTE. LTD.,AC SEAFOOD PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME
HOUSE OF WHITE BEE HOON PTE. LTD.,AC SEAFOOD PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME
HONG KONG STREET FAMILY RESTAURANT NOVENA LLP,HONG KONG STREET FAMILY RESTAURANT NOVENA LLP,LIMITED LIABILITY PARTNERSHIP,SME
JCS SHRIMPS PTE. LTD.,JCS SHRIMPS PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
A & ONE PRECISION ENGINEERING PTE. LTD.,A & ONE PRECISION ENGINEERING PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
SINGATAC ENGINEERING PTE LTD,SINGATAC ENGINEERING PTE LTD,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
DIALOG PLANT SERVICES PTE. LTD.,DIALOG GROUP BERHAD,PRIVATE COMPANY LIMITED BY SHARES,SME
REGIONAL MARINE & ENGINEERING SERVICES PTE LTD,REGIONAL MARINE & ENGINEERING SERVICES PTE LTD,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
RMZ OILFIELD ENGINEERING PTE. LTD.,RMZ OILFIELD ENGINEERING PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
VISION ONE PTE. LTD.,VISION ONE PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
ROTARY-THAI CONSTRUCTION PTE. LTD.,ORO GOLD PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME
THE MANAGEMENT CORPORATION - STRATA TITLE PLAN NO. 4479,THE MANAGEMENT CORPORATION - STRATA TITLE PLAN NO. 4479,,SME
THE MANAGEMENT CORPORATION - STRATA TITLE PLAN NO. 4463,THE MANAGEMENT CORPORATION - STRATA TITLE PLAN NO. 4463,,SME
FRESHMART SINGAPORE PTE LTD,FRESHMART SINGAPORE PTE LTD,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
GREENHUB SUITED OFFICES PTE. LTD.,GREENHUB SUITED OFFICES PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME
COLIWOO KEPPEL PTE. LTD.,LHN LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME
MX CATERERS (ASIA) PTE. LTD.,MAXIM'S CATERERS LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME
HMR FOODS PTE. LTD.,HMR FOODS PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
MYT F&B HOLDINGS PTE. LTD.,NICA INTERNATIONAL PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME
ASPRESS SHIPPING (S) PTE. LTD.,ASPRESS SHIPPING (S) PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME
CADVISION SYSTEMS PTE. LTD.,CADVISION SYSTEMS SDN. BHD.,PRIVATE COMPANY LIMITED BY SHARES,SME
RH NOVENA PTE. LTD.,RH NOVENA PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME
KTC-HSB JV,KTC CIVIL ENGINEERING & CONSTRUCTION PTE LTD,PARTNERSHIP,SME
INPLY INDUSTRIAL SUPPLIER PTE LTD,INPLY INDUSTRIAL SUPPLIER PTE LTD,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
COLIWOO RV1 PTE. LTD.,LHN LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME
THE MANAGEMENT CORPORATION - STRATA TITLE PLAN NO. 2385,THE MANAGEMENT CORPORATION - STRATA TITLE PLAN NO. 2385,,SME
THE MANAGEMENT CORPORATION - STRATA TITLE PLAN NO. 4795,THE MANAGEMENT CORPORATION - STRATA TITLE PLAN NO. 4795,,SME
COLIWOO PP PTE. LTD.,LHN LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME
COLIWOO BALESTIER PTE. LTD.,LHN LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME
THE MANAGEMENT CORPORATION - STRATA TITLE PLAN NO. 2431,THE MANAGEMENT CORPORATION - STRATA TITLE PLAN NO. 2431,,SME
STRACOM ENGINEERING PTE LTD,STRACOM ENGINEERING PTE LTD,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
THE MANAGEMENT CORPORATION - STRATA TITLE PLAN NO. 2905,THE MANAGEMENT CORPORATION - STRATA TITLE PLAN NO. 2905,,SME
THE MANAGEMENT CORPORATION - STRATA TITLE PLAN NO. 2643,THE MANAGEMENT CORPORATION - STRATA TITLE PLAN NO. 2643,,SME
PROPERTY FACILITY SERVICES PTE. LTD.,YY GROUP HOLDING LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME
PSGOURMET GASTRONOMY PTE. LTD.,SUN VENTURE PE LTD,PRIVATE COMPANY LIMITED BY SHARES,SME
TEIA TRADING GMBH,TEIA TRADING GMBH,,SME
SABAROT WASSNER SAS,SABAROT WASSNER SAS,,SME
JANTEX FOODSERVICE GROUP SP. Z O.O.,JANTEX FOODSERVICE GROUP SP. Z O.O.,,SME
KANG JI SEAFOOD SOUP PTE. LTD.,KANG JI SEAFOOD SOUP PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
SUM KEE PTE. LTD.,SUM KEE PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
CAFE RED GINGER PTE LTD,CAFE RED GINGER PTE LTD,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
BEACON CONSULTING PTE LTD,BEACON CONSULTING PTE LTD,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
GANKO SINGAPORE PTE. LTD.,XU LAM BIOTECHNOLOGY PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME
SHANGHAI YONGFU SINGAPORE PTE. LTD.,SHANGHAI YONGFU SINGAPORE PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
A&S TRANSIT PTE. LTD.,A&S TRANSIT PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
AJ DELIGHTS PTE. LTD.,AJ DELIGHTS PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
ANG CHIN MOH FUNERAL DIRECTORS PTE. LTD.,ANG CHIN MOH FUNERAL DIRECTORS PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
MAPLEBEAR AMAZING KIDS PTE. LTD.,MAPLEBEAR AMAZING KIDS PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
PINNACLE CREDIT SERVICES PTE. LTD.,PINNACLE CREDIT SERVICES PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
SMITTEN ICE CREAM BAR PTE. LTD.,SMITTEN ICE CREAM BAR PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
THE ORANGE ACADEMY (TAMPINES) PTE. LTD.,BRIGHTER WORLD EDUCATION GROUP PTE LTD,PRIVATE COMPANY LIMITED BY SHARES,SME
TIDY DISPOSAL SERVICE PTE. LTD.,TIDY DISPOSAL SERVICE PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
A.SUNSET OPERATIONS PTE. LTD.,SUNSET INVESTMENTS INTERNATIONAL LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME
THE MANAGEMENT CORPORATION - STRATA TITLE PLAN NO. 2101,THE MANAGEMENT CORPORATION - STRATA TITLE PLAN NO. 2101,,SME
THE MANAGEMENT CORPORATION - STRATA TITLE PLAN NO. 2902,THE MANAGEMENT CORPORATION - STRATA TITLE PLAN NO. 2902,,SME
NEPTUNE COURT OWNERS' ASSOCIATION,NEPTUNE COURT OWNERS' ASSOCIATION,SOCIETIES,SME
THE MANAGEMENT CORPORATION - STRATA TITLE PLAN NO. 2389,THE MANAGEMENT CORPORATION - STRATA TITLE PLAN NO. 2389,,SME
CAPITOL HOTEL MANAGEMENT PTE. LTD. AS TRUSTEE MANAGER OF CAPITOL HOTEL TRUST,CAPITOL HOTEL MANAGEMENT PTE. LTD. AS TRUSTEE MANAGER OF CAPITOL HOTEL TRUST,,SME
AT-SUNRICE GLOBALCHEF ACADEMY PTE. LTD.,AT-SUNRICE (HOLDINGS) PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME
BHARATH ELECTRICAL ENGINEERING PTE. LTD.,BHARATH ELECTRICAL ENGINEERING PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
SERVICE COMMUNICATION INTERNATIONAL PTE LTD,SERVICE COMMUNICATION INTERNATIONAL PTE LTD,,SME
SINTER HARDMETALL (ASIA PACIFIC) PTE. LTD.,SINTER HARDMETALL (ASIA PACIFIC) PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
PRECIOUS ENGINEERING PTE. LTD.,PRECIOUS ENGINEERING PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
ROVISYS ASIA COMPANY PTE. LTD.,THE ROVISYS COMPANY,PRIVATE COMPANY LIMITED BY SHARES,SME
EASTW ENGINEERING PTE. LTD.,EASTW ENGINEERING PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
B-MECH ENGINEERING PTE LTD,B-MECH ENGINEERING PTE LTD,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
ELITE AIRCONDITIONING & ENGINEERING PTE. LTD.,ELITE AIRCONDITIONING & ENGINEERING PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
DLM PTE. LTD.,DLM PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
TSMC ENTERPRISE PTE. LTD.,TSMC ENTERPRISE PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
NATURAL COOL AIRCONDITIONING & ENGINEERING PTE LTD,NATURAL COOL HOLDINGS LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME
SG INTERNATIONAL HAWKER PTE. LTD.,FEI SIONG FOOD MANAGEMENT PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME
ATNESIS SDN BHD,ATNESIS SDN BHD,,SME
EBELCO INDUSTRIES SDN BHD,EBELCO INDUSTRIES SDN BHD,,SME
ESI ACCESS SDN BHD,ESI ACCESS SDN BHD,,SME
GC PACKAGING SDN BHD,GC PACKAGING SDN BHD,,SME
JJ HAINAN BAO @ JEWEL PTE. LTD.,JJ HAINAN BAO @ JEWEL PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
FLAVOR TREASURY PTE. LTD.,FLAVOR TREASURY PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
JJ HAINAN BAO STORY PTE. LTD.,CHIN F&B EMPIRE PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME
H CULTURE PTE. LTD.,H CULTURE PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME
THE HAINAN STORY TAMPINES PTE. LTD.,H CULTURE PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME
ANDERCO PTE. LTD.,ANDERCO PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
STRIP PTE. LTD.,TITAN DINING GROUP LTD,PRIVATE COMPANY LIMITED BY SHARES,SME
INTERQUIP ELECTRONICS PTE. LTD.,INTERQUIP ELECTRONICS PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
A DRBRAND PTE. LTD.,A DRBRAND PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME
THE WHOLE KITCHEN PTE. LTD.,THE WHOLE KITCHEN PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
T.O.P DESIGN & ENGINEERING PTE. LTD.,T.O.P DESIGN & ENGINEERING PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
THK ENGINEERING PTE. LTD.,THK ENGINEERING PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
LANTRO NE PTE. LTD.,LANTRO NE PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME
KASE LOGISTICS (S) PTE. LTD.,KASE LOGISTICS (S) PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
GWP SERVICES PTE. LTD.,GWP SERVICES PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
SWAT MOBILITY PTE. LTD.,SWAT MOBILITY PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME
PT MULIA JAYA MANDIRI,PT MULIA JAYA MANDIRI,,SME
JIN WEE CONSTRUCTION PTE. LTD.,JIN WEE CONSTRUCTION PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
MR FISH HOLDINGS SDN. BHD.,MR FISH HOLDINGS SDN. BHD.,PRIVATE LIMITED,SME
LEE SEAFOOD SDN. BHD.,LEE SEAFOOD SDN. BHD.,,SME
MAHALAKSHMI ELECTRICAL PTE. LTD.,MAHALAKSHMI ELECTRICAL PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
CLARITY E&C PTE. LTD.,CLARITY E&C PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME
YAM SENG ENGINEERING PTE. LTD.,YAM SENG ENGINEERING PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
MASTERMARK PTE LTD,MASTERMARK PTE LTD,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
AOFEI NEW ENERGY SG PTE. LTD.,"GUANGDONG AOFEI NEW ENERGY CO., LTD",PRIVATE COMPANY LIMITED BY SHARES,SME
FINEST NIMBLE PTE. LTD.,FINEST NIMBLE PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
QT SINGAPORE HOTEL,S1F PTE. LTD.,SOLE PROPRIETOR,SME
SUNSET METT SING PTE. LTD.,SUNSET INVESTMENTS INTERNATIONAL LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME
HEAP SENG GROUP PTE. LTD.,HEAP SENG GROUP PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
LAM THYE HANG PTE. LTD.,LAM THYE HANG PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
TEXAS PETROCHEMICAL ASIA PACIFIC PTE. LTD.,TEXAS PETROCHEMICAL ASIA PACIFIC PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME
SAMWOH RESOURCES PTE LTD,SAMWOH HOLDINGS PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME
CHEE FATT CO. (PTE.) LTD.,CHEE FATT CO. (PTE.) LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
BJ VIBRO PTE. LTD.,BJ VIBRO PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
VISIONICS ENGINEERING PTE. LTD.,VISIONICS ENGINEERING PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
OMBAK SEGAR SDN. BHD.,OMBAK SEGAR SDN. BHD.,PRIVATE LIMITED,SME
THE SMART SERIES PTE. LTD.,THE SMART SERIES PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
RED STAR RESTAURANT PRIVATE LIMITED,RED STAR RESTAURANT PRIVATE LIMITED,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
D-TEAM ENGINEERING PTE. LTD.,D-TEAM ENGINEERING PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
SYNERGY PACIFIC HOLDINGS PTE. LTD.,SYNERGY PACIFIC HOLDINGS PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME
INNOFLEX PTE. LTD.,INNOFLEX HOLDING PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME
W F&B PTE. LTD.,W F&B PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
CTC 1 PTE. LTD.,CTC 1 PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
BEST DENKI (SINGAPORE) PTE. LTD.,YAMADA HOLDINGS CO LTD,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
ABBVIE OPERATIONS SINGAPORE PTE. LTD.,ABBVIE BIOTECHNOLOGY LTD,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
AEROSPACE COMPOSITES MALAYSIA SDN BHD,AEROSPACE COMPOSITES MALAYSIA SDN BHD,PRIVATE LIMITED,SME (subsidiary of Mid-sized/MNC)
ASM FRONT-END MANUFACTURING SINGAPORE PTE. LTD.,ASM FRONT-END MANUFACTURING SINGAPORE PTE. LTD.,PRIVATE LIMITED,SME (subsidiary of Mid-sized/MNC)
BHP BILLITON MARKETING ASIA PTE LTD,BHP BILLITON MARKETING ASIA PTE LTD,PRIVATE LIMITED,SME (subsidiary of Mid-sized/MNC)
BOEHRINGER INGELHEIM SINGAPORE PTE. LTD.,BOEHRINGER INGELHEIM SINGAPORE PTE. LTD.,PRIVATE LIMITED,SME (subsidiary of Mid-sized/MNC)
CARGILL ASIA PACIFIC HOLDINGS PTE. LTD.,CARGILL ASIA PACIFIC HOLDINGS PTE. LTD.,PRIVATE LIMITED,SME (subsidiary of Mid-sized/MNC)
CHINA TAIPING INSURANCE (SINGAPORE) PTE. LTD.,CHINA TAIPING INSURANCE (SINGAPORE) PTE. LTD.,PRIVATE LIMITED,SME (subsidiary of Mid-sized/MNC)
COGNIZANT TECHNOLOGY SOLUTIONS ASIA PACIFIC PTE. LTD.,COGNIZANT TECHNOLOGY SOLUTIONS ASIA PACIFIC PTE. LTD.,PRIVATE LIMITED,SME (subsidiary of Mid-sized/MNC)
COMPOSITE TECHNOLOGY INTERNATIONAL PTE LTD,COMPOSITE TECHNOLOGY INTERNATIONAL PTE LTD,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
BRENNTAG PTE. LTD.,BRENNTAG (HOLDING) B.V.,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
CELESTICA ELECTRONICS (S) PTE LTD,CELESTICA CAYMAN HOLDINGS 9 LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
FINISAR SINGAPORE PTE LTD,FINISAR SINGAPORE PTE LTD,PRIVATE LIMITED,SME (subsidiary of Mid-sized/MNC)
GAC (SINGAPORE) PTE. LTD.,GAC (SINGAPORE) PTE. LTD.,,SME (subsidiary of Mid-sized/MNC)
GOODYEAR SINGAPORE TYRES,GOODYEAR SINGAPORE TYRES,SOLE PROPRIETOR,SME (subsidiary of Mid-sized/MNC)
"HITACHI PLANT CONSTRUCTION, LTD. Singapore Branch","HITACHI PLANT CONSTRUCTION, LTD. Singapore Branch",FOREIGN COMPANY REGISTERED IN SINGAPORE,SME (subsidiary of Mid-sized/MNC)
II-VI SINGAPORE PTE LTD,II-VI SINGAPORE PTE LTD,PRIVATE LIMITED,SME (subsidiary of Mid-sized/MNC)
INTERPLEX PRECISION TECHNOLOGY (SINGAPORE) PTE. LTD.,INTERPLEX PRECISION TECHNOLOGY (SINGAPORE) PTE. LTD.,,SME (subsidiary of Mid-sized/MNC)
NX GLOBAL ENGINEERING PTE. LTD.,"NIPPON EXPRESS HOLDINGS, INC.",PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
NSL OILCHEM WASTE MANAGEMENT PTE. LTD.,NSL CHEMICALS LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
PERTAMA MERCHANDISING PTE LTD,HARVEY NORMAN SINGAPORE PTE LTD,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
"QINGJIAN INTERNATIONAL (SOUTH PACIFIC) GROUP DEVELOPMENT CO., PTE. LTD.",WANG BAO DEVELOPMENT LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
CLARIANT (SINGAPORE) PTE. LTD.,Clariant AG,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
SATSACO EXPRESS TRANSPORTATION PTE LTD,SATSACO EXPRESS TRANSPORTATION PTE LTD,PRIVATE LIMITED,SME (subsidiary of Mid-sized/MNC)
CEVA MANAGEMENT ASIA-PACIFIC PTE. LTD.,COMPAGNIE SAINT CORENTIN,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
SHENG SIONG HYPERMART,SHENG SIONG HYPERMART,SOLE PROPRIETOR,SME (subsidiary of Mid-sized/MNC)
SHENG SIONG GROCERIES,SHENG SIONG GROUP LTD.,SOLE PROPRIETOR,SME (subsidiary of Mid-sized/MNC)
SHING SONG SUPERMARKET,SHENG SIONG GROUP LTD.,PARTNERSHIP,SME (subsidiary of Mid-sized/MNC)
SINGAPORE TAKADA INDUSTRIES PRIVATE LIMITED,TAKADA CORPORATION,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
SULZER SINGAPORE PTE. LTD.,SULZER LTD,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
SYNGENTA ASIA PACIFIC PTE. LTD.,SYNGENTA PARTICIPATIONS AG,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
SYSTEMS ON SILICON MANUFACTURING COMPANY PTE LTD,SYSTEMS ON SILICON MANUFACTURING COMPANY PTE LTD,PRIVATE LIMITED,SME (subsidiary of Mid-sized/MNC)
TOA CORPORATION,TOA CORPORATION,FOREIGN COMPANY REGISTERED IN SINGAPORE,SME (subsidiary of Mid-sized/MNC)
BOSKALIS / PENTA-OCEAN JOINT VENTURE,Koninklijke Boskalis Westminster N.V.,PARTNERSHIP,SME (subsidiary of Mid-sized/MNC)
DACHSER (SINGAPORE) PTE. LTD.,DACHSER SE,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
UPS SCS (SINGAPORE) PTE. LTD.,UPS SCS HOLDING LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
NEC ASIA PACIFIC PTE. LTD.,NEC CORPORATION,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
ECICS LIMITED,IFS CAPITAL LIMITED,PUBLIC COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
SOVERUS PTE. LTD.,SECURA GROUP LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
AIR INDIA LIMITED,AIR INDIA LIMITED,PUBLIC LIMITED COMPANY,SME (subsidiary of Mid-sized/MNC)
AIRCRAFT MAINTENANCE & ENGINEERING CORPORATION,AIRCRAFT MAINTENANCE & ENGINEERING CORPORATION,PRIVATE LIMITED,SME (subsidiary of Mid-sized/MNC)
"CHINA EASTERN AVIATION IMPORT & EXPORT CO., LTD.","CHINA EASTERN AVIATION IMPORT & EXPORT CO., LTD.",PRIVATE LIMITED,SME (subsidiary of Mid-sized/MNC)
AVENTIS PHARMA MANUFACTURING PTE LTD,SANOFI FOREIGN PARTICIPATIONS B.V.,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
GREAT RESOURCES M & E CONTRACTOR PTE LTD,CHINA STATE CONSTRUCTION ENGINEERING CORPORATION LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
"GUANGZHOU AIRCRAFT MAINTENANCE ENGINEERING CO., LTD.","GUANGZHOU AIRCRAFT MAINTENANCE ENGINEERING CO., LTD.",,SME (subsidiary of Mid-sized/MNC)
SATS CATERING PTE LTD,SATS LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
WATSON'S PERSONAL CARE STORES PTE LTD,WATSON'S THE CHEMIST (SINGAPORE) HOLDINGS LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
SBS TRANSIT RAIL PTE. LTD.,COMFORTDELGRO CORPORATION LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
REDMART PTE. LTD.,ALIBABA.COM HOLDING LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
